job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
Advertor,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
An Artist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
Bananist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
Chancellor,4.0,1.0,0.0,3.0,4.0,4.0,0.0,0.75
Humpty-Commentary,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
Loanor,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
Mamlog,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
Manager,1.0,0.0,7.0,8.0,8.0,8.0,0.875,1.0
Moniquer,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Rescuer,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
Shepherd,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
agronom,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
ambassador,3.0,0.0,3.0,6.0,6.0,6.0,0.5,1.0
boss,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
broker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
cartographer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
choreographer,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
concertmaster,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
conductor,3.0,0.0,5.0,8.0,8.0,8.0,0.625,1.0
consul,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
counselor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
dean,1.0,2.0,3.0,2.0,4.0,4.0,0.75,0.5
fisherman,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
gangster,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
handler,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
logger,2.0,1.0,1.0,2.0,3.0,3.0,0.3333333333333333,0.6666666666666666
manifest,3.0,1.0,1.0,3.0,4.0,4.0,0.25,0.75
marketing,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
medium,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
meteorologist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
official,2.0,3.0,7.0,6.0,9.0,9.0,0.7777777777777778,0.6666666666666666
out-of-the-box,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
passer,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
pathologist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
rap,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
replacement,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
screenkeeper,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
soccer player,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
therapist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
tutor,2.0,0.0,6.0,8.0,8.0,8.0,0.75,1.0
